ID,Work Item Type,Title,Assigned To,State,Area Path,Tags,Comment Count
"18209","Issue","The server is getting slow and the system is keep loading","Aesha.Hassen <Aesha.Hassen@fotopiatech.com>","Active","Foto Find","Digitizeme; Nuxeo; V1.0","5"
"19088","Feature","Implement an option to download the document from document card right click menu bar","Aesha.Hassen <Aesha.Hassen@fotopiatech.com>","Closed","Foto Find","Digitizeme; Fotofind; V1.0","2"
"19429","Test Case","Document Download | Verify that ""Download"" option is not functional for Viewer user.","Aesha.Hassen <Aesha.Hassen@fotopiatech.com>","Design","Foto Find",,"0"
"19428","Test Case","Document Download | Verify that ""Download"" option is functioning successfully for a Department Contributor and Administrator.","Aesha.Hassen <Aesha.Hassen@fotopiatech.com>","Design","Foto Find",,"0"
"19427","Test Case","Document Download | Verify that ""Download"" option is available in the menu of each document card.","Aesha.Hassen <Aesha.Hassen@fotopiatech.com>","Design","Foto Find",,"0"
"18233","Feature","""Apply to all documents"" option | Metadata & Navigation Recommendation","Aesha.Hassen <Aesha.Hassen@fotopiatech.com>","Resolved","Foto Find","Cleanup; Digitizeme; Frontend; Pending Confirmation; V1.0","2"
"19039","Task","Fix identifier indexing mismatch between ingestion and search","Sameh Amnoun <Sameh.Amnoun@fotopiatech.com>","Active","Foto Find","Backend; Digitizeme; low; V1.0","0"
"19034","Task","Fix N+1 external call pattern in group resolution","Sameh Amnoun <Sameh.Amnoun@fotopiatech.com>","Active","Foto Find","Backend; Digitizeme; medium; Pending Merge; performance; V1.0","0"
"19036","Task","Refactor monolithic DocumentSearchService","Farah Eid <farah.eid@infasme.com>","New","Foto Find","Backend; Digitizeme; medium; on-hold; V1.0","3"
"19376","Task","Codebase Cleanup – Remove Commented-Out and Unused Code","Farah Eid <farah.eid@infasme.com>","New","Foto Find","Backend; Digitizeme; on-hold; V1.0","0"
"19031","Task","Remove plaintext credentials from configuration files","Sameh Amnoun <Sameh.Amnoun@fotopiatech.com>","Active","Foto Find","Backend; Digitizeme; high; Pending Merge; V1.0","0"
"19035","Task","Implement global exception handling layer","Sameh Amnoun <Sameh.Amnoun@fotopiatech.com>","Active","Foto Find","Backend; Digitizeme; low; V1.0","0"
"19038","Task","Fix Elasticsearch schema and field drift","Sameh Amnoun <Sameh.Amnoun@fotopiatech.com>","Active","Foto Find","Backend; Digitizeme; medium; V1.0","0"
"19377","Task","Shift Group CRUD Event Handling to Nuxeo Plugin and Remove Kafka Logic from Nuxeo","Farah Eid <farah.eid@infasme.com>","New","Foto Find","Backend; Digitizeme; Nuxeo; V1.0","0"
"19375","Bug","Docker Image Fails to Create Elasticsearch Documents Using Provided Index Definitions","Farah Eid <farah.eid@infasme.com>","New","Foto Find","Digitizeme; Dockerization; V1.0","0"
"19374","Task","Final code checkin before handover","Muzamil Siddiqui <Muzamil.Siddiqui@infasme.com>","Closed","Foto Find","Digitizeme; V1.0","1"
"19233","Task","Nuxeo-plugin: ingest document created/modified message into fotofind kakfa topic on document creation and modification event in Nuxeo","Aesha.Hassen <Aesha.Hassen@fotopiatech.com>","Active","Foto Find","Digitizeme; Nuxeo; Pending Merge; V1.0","1"
"19372","Bug","Tenant Admin | Department status is not changing after archived successfully","Aesha.Hassen <Aesha.Hassen@fotopiatech.com>","New","Foto Find","Digitizeme; Frontend; Test Failled; V1.0","0"
"19148","Task","Performance tuning required for listing group members on the UI","Aesha.Hassen <Aesha.Hassen@fotopiatech.com>","Closed","Foto Find","Backend; Digitizeme; Fotofind; performance; Test Passed; V1.0","1"
"18202","Task","Handle nuxeo CURD event on document and group to refresh Elastic search","Aesha.Hassen <Aesha.Hassen@fotopiatech.com>","Closed","Foto Find","Backend; critical; Digitizeme; Test Passed; V1.0","5"
"19265","Test Case","Tenant Admin | Verify that Tenant Admin can't view, upload, & edit any documents within the assigned tenant unless assigned with a role to a department.","Aesha.Hassen <Aesha.Hassen@fotopiatech.com>","Design","Foto Find",,"1"
